Hour,Load (kW),Load (%),PV
3891,73.88,0.54,0
3892,71.95,0.52,0
3893,73.81,0.53,0
3894,74.01,0.54,0.033
3895,67.88,0.49,0.081
3896,76.89,0.56,0.122
3897,83.02,0.6,0.157
3898,92.05,0.67,0.202
3899,101.81,0.74,0.205
3900,103.21,0.75,0.223
3901,105.97,0.77,0.207
3902,107.2,0.78,0.169
3903,103.15,0.75,0.116
3904,99.58,0.72,0.06
3905,92.46,0.67,0.011
3906,104.15,0.75,0
3907,134.26,0.97,0
3908,138,1,0
3909,126.91,0.92,0
3910,110.76,0.8,0
3911,97.58,0.71,0
3912,91.37,0.66,0
3913,82.93,0.6,0
3914,77.9,0.56,0
3915,73.88,0.54,0
3916,71.95,0.52,0
3917,73.81,0.53,0.002
3918,74.01,0.54,0.056
3919,67.88,0.49,0.142
3920,76.89,0.56,0.225
3921,83.02,0.6,0.286
3922,92.05,0.67,0.328
3923,101.81,0.74,0.387
3924,103.21,0.75,0.361
3925,105.97,0.77,0.302
3926,107.2,0.78,0.241
3927,103.15,0.75,0.135
3928,99.58,0.72,0.048
3929,92.46,0.67,0.008
3930,104.15,0.75,0
3931,134.26,0.97,0
3932,138,1,0
3933,126.91,0.92,0
3934,110.76,0.8,0
3935,97.58,0.71,0
3936,91.37,0.66,0
3937,82.93,0.6,0
3938,77.9,0.56,0
3939,73.88,0.54,0
3940,71.95,0.52,0
3941,73.81,0.53,0.004
3942,74.01,0.54,0.062
3943,67.88,0.49,0.135
3944,76.89,0.56,0.227
3945,83.02,0.6,0.287
3946,92.05,0.67,0.322
3947,101.81,0.74,0.31
3948,103.21,0.75,0.285
3949,105.97,0.77,0.247
3950,107.2,0.78,0.191
3951,103.15,0.75,0.121
3952,99.58,0.72,0.059
3953,92.46,0.67,0.013
3954,104.15,0.75,0
3955,134.26,0.97,0
3956,138,1,0
3957,126.91,0.92,0
3958,110.76,0.8,0
3959,97.58,0.71,0
3960,91.37,0.66,0
3961,82.93,0.6,0
3962,77.9,0.56,0
3963,73.88,0.54,0
3964,71.95,0.52,0
3965,73.81,0.53,0.002
3966,74.01,0.54,0.054
3967,67.88,0.49,0.125
3968,76.89,0.56,0.199
3969,83.02,0.6,0.273
3970,92.05,0.67,0.344
3971,101.81,0.74,0.463
3972,103.21,0.75,0.543
3973,105.97,0.77,0.534
3974,107.2,0.78,0.462
3975,103.15,0.75,0.339
3976,99.58,0.72,0.18
3977,92.46,0.67,0.038
3978,104.15,0.75,0
3979,134.26,0.97,0
3980,138,1,0
3981,126.91,0.92,0
3982,110.76,0.8,0
3983,97.58,0.71,0
3984,91.37,0.66,0
3985,82.93,0.6,0
3986,77.9,0.56,0
3987,73.88,0.54,0
3988,71.95,0.52,0
3989,73.81,0.53,0.004
3990,74.01,0.54,0.079
3991,67.88,0.49,0.206
3992,76.89,0.56,0.323
3993,83.02,0.6,0.414
3994,92.05,0.67,0.43
3995,101.81,0.74,0.417
3996,103.21,0.75,0.392
3997,105.97,0.77,0.34
3998,107.2,0.78,0.266
3999,103.15,0.75,0.182
4000,99.58,0.72,0.096
4001,92.46,0.67,0.023
4002,104.15,0.75,0
4003,134.26,0.97,0
4004,138,1,0
4005,126.91,0.92,0
4006,110.76,0.8,0
4007,97.58,0.71,0
4008,91.37,0.66,0
4009,82.93,0.6,0
4010,77.9,0.56,0
4011,73.88,0.54,0
4012,71.95,0.52,0
4013,73.81,0.53,0.004
4014,74.01,0.54,0.083
4015,67.88,0.49,0.21
4016,76.89,0.56,0.331
4017,83.02,0.6,0.393
4018,92.05,0.67,0.453
4019,101.81,0.74,0.487
4020,103.21,0.75,0.474
4021,105.97,0.77,0.423
4022,107.2,0.78,0.344
4023,103.15,0.75,0.212
4024,99.58,0.72,0.095
4025,92.46,0.67,0.015
4026,104.15,0.75,0
4027,134.26,0.97,0
4028,138,1,0
4029,126.91,0.92,0
4030,110.76,0.8,0
4031,97.58,0.71,0
4032,91.37,0.66,0
4033,82.93,0.6,0
4034,77.9,0.56,0
4035,73.88,0.54,0
4036,71.95,0.52,0
4037,73.81,0.53,0.003
4038,74.01,0.54,0.077
4039,67.88,0.49,0.208
4040,76.89,0.56,0.348
4041,83.02,0.6,0.454
4042,92.05,0.67,0.522
4043,101.81,0.74,0.537
4044,103.21,0.75,0.509
4045,105.97,0.77,0.471
4046,107.2,0.78,0.403
4047,103.15,0.75,0.288
4048,99.58,0.72,0.152
4049,92.46,0.67,0.032
4050,104.15,0.75,0
4051,134.26,0.97,0
4052,138,1,0
4053,126.91,0.92,0
4054,110.76,0.8,0
4055,97.58,0.71,0
4056,91.37,0.66,0
4057,82.93,0.6,0
4058,77.9,0.56,0
4059,73.88,0.54,0
4060,71.95,0.52,0
4061,73.81,0.53,0.006
4062,74.01,0.54,0.117
4063,67.88,0.49,0.279
4064,76.89,0.56,0.417
4065,83.02,0.6,0.517
4066,92.05,0.67,0.569
4067,101.81,0.74,0.593
4068,103.21,0.75,0.565
4069,105.97,0.77,0.514
4070,107.2,0.78,0.435
4071,103.15,0.75,0.322
4072,99.58,0.72,0.176
4073,92.46,0.67,0.039
4074,104.15,0.75,0
4075,134.26,0.97,0
4076,138,1,0
4077,126.91,0.92,0
4078,110.76,0.8,0
4079,97.58,0.71,0
4080,91.37,0.66,0
4081,82.93,0.6,0
4082,77.9,0.56,0
4083,73.88,0.54,0
4084,71.95,0.52,0
4085,73.81,0.53,0.004
4086,74.01,0.54,0.073
4087,67.88,0.49,0.177
4088,76.89,0.56,0.284
4089,83.02,0.6,0.381
4090,92.05,0.67,0.461
4091,101.81,0.74,0.511
4092,103.21,0.75,0.522
4093,105.97,0.77,0.493
4094,107.2,0.78,0.411
4095,103.15,0.75,0.282
4096,99.58,0.72,0.141
4097,92.46,0.67,0.027
4098,104.15,0.75,0
4099,134.26,0.97,0
4100,138,1,0
4101,126.91,0.92,0
4102,110.76,0.8,0
4103,97.58,0.71,0
4104,91.37,0.66,0
4105,82.93,0.6,0
4106,77.9,0.56,0
4107,73.88,0.54,0
4108,71.95,0.52,0
4109,73.81,0.53,0.001
4110,74.01,0.54,0.039
4111,67.88,0.49,0.102
4112,76.89,0.56,0.172
4113,83.02,0.6,0.233
4114,92.05,0.67,0.269
4115,101.81,0.74,0.271
4116,103.21,0.75,0.255
4117,105.97,0.77,0.219
4118,107.2,0.78,0.167
4119,103.15,0.75,0.125
4120,99.58,0.72,0.062
4121,92.46,0.67,0.01
4122,104.15,0.75,0
4123,134.26,0.97,0
4124,138,1,0
4125,126.91,0.92,0
4126,110.76,0.8,0
4127,97.58,0.71,0
4128,91.37,0.66,0
4129,82.93,0.6,0
4130,77.9,0.56,0
4131,73.88,0.54,0
4132,71.95,0.52,0
4133,73.81,0.53,0.003
4134,74.01,0.54,0.07
4135,67.88,0.49,0.149
4136,76.89,0.56,0.247
4137,83.02,0.6,0.311
4138,92.05,0.67,0.357
4139,101.81,0.74,0.368
4140,103.21,0.75,0.356
4141,105.97,0.77,0.32
4142,107.2,0.78,0.245
4143,103.15,0.75,0.168
4144,99.58,0.72,0.092
4145,92.46,0.67,0.02
4146,104.15,0.75,0
4147,134.26,0.97,0
4148,138,1,0
4149,126.91,0.92,0
4150,110.76,0.8,0
4151,97.58,0.71,0
4152,91.37,0.66,0
4153,82.93,0.6,0
4154,77.9,0.56,0
4155,73.88,0.54,0
4156,71.95,0.52,0
4157,73.81,0.53,0.006
4158,74.01,0.54,0.119
4159,67.88,0.49,0.271
4160,76.89,0.56,0.402
4161,83.02,0.6,0.502
4162,92.05,0.67,0.557
4163,101.81,0.74,0.591
4164,103.21,0.75,0.577
4165,105.97,0.77,0.498
4166,107.2,0.78,0.397
4167,103.15,0.75,0.288
4168,99.58,0.72,0.154
4169,92.46,0.67,0.034
4170,104.15,0.75,0
4171,134.26,0.97,0
4172,138,1,0
4173,126.91,0.92,0
4174,110.76,0.8,0
4175,97.58,0.71,0
4176,91.37,0.66,0
4177,82.93,0.6,0
4178,77.9,0.56,0
4179,73.88,0.54,0
4180,71.95,0.52,0
4181,73.81,0.53,0.003
4182,74.01,0.54,0.065
4183,67.88,0.49,0.166
4184,76.89,0.56,0.269
4185,83.02,0.6,0.371
4186,92.05,0.67,0.446
4187,101.81,0.74,0.488
4188,103.21,0.75,0.517
4189,105.97,0.77,0.467
4190,107.2,0.78,0.368
4191,103.15,0.75,0.249
4192,99.58,0.72,0.123
4193,92.46,0.67,0.024
4194,104.15,0.75,0
4195,134.26,0.97,0
4196,138,1,0
4197,126.91,0.92,0
4198,110.76,0.8,0
4199,97.58,0.71,0
4200,91.37,0.66,0
4201,82.93,0.6,0
4202,77.9,0.56,0
4203,73.88,0.54,0
4204,71.95,0.52,0
4205,73.81,0.53,0.003
4206,74.01,0.54,0.067
4207,67.88,0.49,0.168
4208,76.89,0.56,0.276
4209,83.02,0.6,0.382
4210,92.05,0.67,0.436
4211,101.81,0.74,0.429
4212,103.21,0.75,0.429
4213,105.97,0.77,0.377
4214,107.2,0.78,0.297
4215,103.15,0.75,0.201
4216,99.58,0.72,0.093
4217,92.46,0.67,0.015
4218,104.15,0.75,0
4219,134.26,0.97,0
4220,138,1,0
4221,126.91,0.92,0
4222,110.76,0.8,0
4223,97.58,0.71,0
4224,91.37,0.66,0
4225,82.93,0.6,0
4226,77.9,0.56,0
4227,73.88,0.54,0
4228,71.95,0.52,0
4229,73.81,0.53,0.002
4230,74.01,0.54,0.073
4231,67.88,0.49,0.19
4232,76.89,0.56,0.305
4233,83.02,0.6,0.427
4234,92.05,0.67,0.47
4235,101.81,0.74,0.483
4236,103.21,0.75,0.489
4237,105.97,0.77,0.425
4238,107.2,0.78,0.297
4239,103.15,0.75,0.122
4240,99.58,0.72,0.047
4241,92.46,0.67,0.006
4242,104.15,0.75,0
4243,134.26,0.97,0
4244,138,1,0
4245,126.91,0.92,0
4246,110.76,0.8,0
4247,97.58,0.71,0
4248,91.37,0.66,0
4249,82.93,0.6,0
4250,77.9,0.56,0
4251,73.88,0.54,0
4252,71.95,0.52,0
4253,73.81,0.53,0.004
4254,74.01,0.54,0.099
4255,67.88,0.49,0.252
4256,76.89,0.56,0.391
4257,83.02,0.6,0.521
4258,92.05,0.67,0.602
4259,101.81,0.74,0.637
4260,103.21,0.75,0.63
4261,105.97,0.77,0.569
4262,107.2,0.78,0.471
4263,103.15,0.75,0.322
4264,99.58,0.72,0.15
4265,92.46,0.67,0.032
4266,104.15,0.75,0
4267,134.26,0.97,0
4268,138,1,0
4269,126.91,0.92,0
4270,110.76,0.8,0
4271,97.58,0.71,0
4272,91.37,0.66,0
4273,82.93,0.6,0
4274,77.9,0.56,0
4275,73.88,0.54,0
4276,71.95,0.52,0
4277,73.81,0.53,0.004
4278,74.01,0.54,0.08
4279,67.88,0.49,0.196
4280,76.89,0.56,0.308
4281,83.02,0.6,0.42
4282,92.05,0.67,0.465
4283,101.81,0.74,0.482
4284,103.21,0.75,0.429
4285,105.97,0.77,0.375
4286,107.2,0.78,0.306
4287,103.15,0.75,0.187
4288,99.58,0.72,0.096
4289,92.46,0.67,0.015
4290,104.15,0.75,0
4291,134.26,0.97,0
4292,138,1,0
4293,126.91,0.92,0
4294,110.76,0.8,0
4295,97.58,0.71,0
4296,91.37,0.66,0
4297,82.93,0.6,0
4298,77.9,0.56,0
4299,73.88,0.54,0
4300,71.95,0.52,0
4301,73.81,0.53,0.002
4302,74.01,0.54,0.057
4303,67.88,0.49,0.138
4304,76.89,0.56,0.216
4305,83.02,0.6,0.28
4306,92.05,0.67,0.321
4307,101.81,0.74,0.343
4308,103.21,0.75,0.314
4309,105.97,0.77,0.28
4310,107.2,0.78,0.242
4311,103.15,0.75,0.162
4312,99.58,0.72,0.077
4313,92.46,0.67,0.014
4314,104.15,0.75,0
4315,134.26,0.97,0
4316,138,1,0
4317,126.91,0.92,0
4318,110.76,0.8,0
4319,97.58,0.71,0
4320,91.37,0.66,0
4321,82.93,0.6,0
4322,77.9,0.56,0
4323,73.88,0.54,0
4324,71.95,0.52,0
4325,73.81,0.53,0
4326,74.01,0.54,0.039
4327,67.88,0.49,0.123
4328,76.89,0.56,0.247
4329,83.02,0.6,0.378
4330,92.05,0.67,0.456
4331,101.81,0.74,0.39
4332,103.21,0.75,0.321
4333,105.97,0.77,0.261
4334,107.2,0.78,0.181
4335,103.15,0.75,0.112
4336,99.58,0.72,0.049
4337,92.46,0.67,0.008
4338,104.15,0.75,0
4339,134.26,0.97,0
4340,138,1,0
4341,126.91,0.92,0
4342,110.76,0.8,0
4343,97.58,0.71,0
4344,91.37,0.66,0
4345,82.93,0.6,0
4346,77.9,0.56,0
4347,73.88,0.54,0
4348,71.95,0.52,0
4349,73.81,0.53,0.001
4350,74.01,0.54,0.038
4351,67.88,0.49,0.103
4352,76.89,0.56,0.163
4353,83.02,0.6,0.216
4354,92.05,0.67,0.26
4355,101.81,0.74,0.277
4356,103.21,0.75,0.271
4357,105.97,0.77,0.26
4358,107.2,0.78,0.235
4359,103.15,0.75,0.182
4360,99.58,0.72,0.096
4361,92.46,0.67,0.02
4362,104.15,0.75,0
4363,134.26,0.97,0
4364,138,1,0
4365,126.91,0.92,0
4366,110.76,0.8,0
4367,97.58,0.71,0
4368,91.37,0.66,0
4369,82.93,0.6,0
4370,77.9,0.56,0
4371,73.88,0.54,0
4372,71.95,0.52,0
4373,73.81,0.53,0.002
4374,74.01,0.54,0.058
4375,67.88,0.49,0.147
4376,76.89,0.56,0.247
4377,83.02,0.6,0.354
4378,92.05,0.67,0.431
4379,101.81,0.74,0.451
4380,103.21,0.75,0.411
4381,105.97,0.77,0.368
4382,107.2,0.78,0.302
4383,103.15,0.75,0.222
4384,99.58,0.72,0.102
4385,92.46,0.67,0.016
4386,104.15,0.75,0
4387,134.26,0.97,0
4388,138,1,0
4389,126.91,0.92,0
4390,110.76,0.8,0
4391,97.58,0.71,0
4392,91.37,0.66,0
4393,82.93,0.6,0
4394,77.9,0.56,0
4395,73.88,0.54,0
4396,71.95,0.52,0
4397,73.81,0.53,0.003
4398,74.01,0.54,0.066
4399,67.88,0.49,0.162
4400,76.89,0.56,0.239
4401,83.02,0.6,0.324
4402,92.05,0.67,0.397
4403,101.81,0.74,0.455
4404,103.21,0.75,0.475
4405,105.97,0.77,0.452
4406,107.2,0.78,0.39
4407,103.15,0.75,0.285
4408,99.58,0.72,0.154
4409,92.46,0.67,0.032
4410,104.15,0.75,0
4411,134.26,0.97,0
4412,138,1,0
4413,126.91,0.92,0
4414,110.76,0.8,0
4415,97.58,0.71,0
4416,91.37,0.66,0
4417,82.93,0.6,0
4418,77.9,0.56,0
4419,73.88,0.54,0
4420,71.95,0.52,0
4421,73.81,0.53,0.001
4422,74.01,0.54,0.035
4423,67.88,0.49,0.087
4424,76.89,0.56,0.171
4425,83.02,0.6,0.239
4426,92.05,0.67,0.307
4427,101.81,0.74,0.376
4428,103.21,0.75,0.354
4429,105.97,0.77,0.355
4430,107.2,0.78,0.29
4431,103.15,0.75,0.194
4432,99.58,0.72,0.091
4433,92.46,0.67,0.015
4434,104.15,0.75,0
4435,134.26,0.97,0
4436,138,1,0
4437,126.91,0.92,0
4438,110.76,0.8,0
4439,97.58,0.71,0
4440,91.37,0.66,0
4441,82.93,0.6,0
4442,77.9,0.56,0
4443,73.88,0.54,0
4444,71.95,0.52,0
4445,73.81,0.53,0.003
4446,74.01,0.54,0.073
4447,67.88,0.49,0.178
4448,76.89,0.56,0.287
4449,83.02,0.6,0.371
4450,92.05,0.67,0.417
4451,101.81,0.74,0.405
4452,103.21,0.75,0.354
4453,105.97,0.77,0.282
4454,107.2,0.78,0.225
4455,103.15,0.75,0.154
4456,99.58,0.72,0.079
4457,92.46,0.67,0.014
4458,104.15,0.75,0
4459,134.26,0.97,0
4460,138,1,0
4461,126.91,0.92,0
4462,110.76,0.8,0
4463,97.58,0.71,0
4464,91.37,0.66,0
4465,82.93,0.6,0
4466,77.9,0.56,0
4467,73.88,0.54,0
4468,71.95,0.52,0
4469,73.81,0.53,0.002
4470,74.01,0.54,0.068
4471,67.88,0.49,0.173
4472,76.89,0.56,0.266
4473,83.02,0.6,0.335
4474,92.05,0.67,0.391
4475,101.81,0.74,0.404
4476,103.21,0.75,0.368
4477,105.97,0.77,0.347
4478,107.2,0.78,0.27
4479,103.15,0.75,0.182
4480,99.58,0.72,0.088
4481,92.46,0.67,0.014
4482,104.15,0.75,0
4483,134.26,0.97,0
4484,138,1,0
4485,126.91,0.92,0
4486,110.76,0.8,0
4487,97.58,0.71,0
4488,91.37,0.66,0
4489,82.93,0.6,0
4490,77.9,0.56,0
4491,73.88,0.54,0
4492,71.95,0.52,0
4493,73.81,0.53,0.002
4494,74.01,0.54,0.049
4495,67.88,0.49,0.119
4496,76.89,0.56,0.205
4497,83.02,0.6,0.278
4498,92.05,0.67,0.343
4499,101.81,0.74,0.382
4500,103.21,0.75,0.372
4501,105.97,0.77,0.347
4502,107.2,0.78,0.296
4503,103.15,0.75,0.218
4504,99.58,0.72,0.12
4505,92.46,0.67,0.021
4506,104.15,0.75,0
4507,134.26,0.97,0
4508,138,1,0
4509,126.91,0.92,0
4510,110.76,0.8,0
4511,97.58,0.71,0
4512,91.37,0.66,0
4513,82.93,0.6,0
4514,77.9,0.56,0
4515,73.88,0.54,0
4516,71.95,0.52,0
4517,73.81,0.53,0.003
4518,74.01,0.54,0.069
4519,67.88,0.49,0.181
4520,76.89,0.56,0.287
4521,83.02,0.6,0.383
4522,92.05,0.67,0.468
4523,101.81,0.74,0.528
4524,103.21,0.75,0.533
4525,105.97,0.77,0.478
4526,107.2,0.78,0.379
4527,103.15,0.75,0.244
4528,99.58,0.72,0.104
4529,92.46,0.67,0.014
4530,104.15,0.75,0
4531,134.26,0.97,0
4532,138,1,0
4533,126.91,0.92,0
4534,110.76,0.8,0
4535,97.58,0.71,0
4536,91.37,0.66,0
4537,82.93,0.6,0
4538,77.9,0.56,0
4539,73.88,0.54,0
4540,71.95,0.52,0
4541,73.81,0.53,0.001
4542,74.01,0.54,0.04
4543,67.88,0.49,0.119
4544,76.89,0.56,0.204
4545,83.02,0.6,0.291
4546,92.05,0.67,0.36
4547,101.81,0.74,0.407
4548,103.21,0.75,0.414
4549,105.97,0.77,0.391
4550,107.2,0.78,0.3
4551,103.15,0.75,0.198
4552,99.58,0.72,0.096
4553,92.46,0.67,0.015
4554,104.15,0.75,0
4555,134.26,0.97,0
4556,138,1,0
4557,126.91,0.92,0
4558,110.76,0.8,0
4559,97.58,0.71,0
4560,91.37,0.66,0
4561,82.93,0.6,0
4562,77.9,0.56,0
4563,73.88,0.54,0
4564,71.95,0.52,0
4565,73.81,0.53,0.002
4566,74.01,0.54,0.057
4567,67.88,0.49,0.138
4568,76.89,0.56,0.226
4569,83.02,0.6,0.298
4570,92.05,0.67,0.328
4571,101.81,0.74,0.316
4572,103.21,0.75,0.287
4573,105.97,0.77,0.248
4574,107.2,0.78,0.206
4575,103.15,0.75,0.153
4576,99.58,0.72,0.081
4577,92.46,0.67,0.013
4578,104.15,0.75,0
4579,134.26,0.97,0
4580,138,1,0
4581,126.91,0.92,0
4582,110.76,0.8,0
4583,97.58,0.71,0
4584,91.37,0.66,0
4585,82.93,0.6,0
4586,77.9,0.56,0
4587,73.88,0.54,0
4588,71.95,0.52,0
4589,73.81,0.53,0.004
4590,74.01,0.54,0.082
4591,67.88,0.49,0.188
4592,76.89,0.56,0.3
4593,83.02,0.6,0.408
4594,92.05,0.67,0.492
4595,101.81,0.74,0.518
4596,103.21,0.75,0.482
4597,105.97,0.77,0.408
4598,107.2,0.78,0.318
4599,103.15,0.75,0.222
4600,99.58,0.72,0.122
4601,92.46,0.67,0.024
4602,104.15,0.75,0
4603,134.26,0.97,0
4604,138,1,0
4605,126.91,0.92,0
4606,110.76,0.8,0
4607,97.58,0.71,0
4608,91.37,0.66,0
4609,82.93,0.6,0
4610,77.9,0.56,0
4611,73.88,0.54,0
4612,71.95,0.52,0
4613,73.81,0.53,0.005
4614,74.01,0.54,0.097
4615,67.88,0.49,0.219
4616,76.89,0.56,0.33
4617,83.02,0.6,0.428
4618,92.05,0.67,0.495
4619,101.81,0.74,0.522
4620,103.21,0.75,0.53
4621,105.97,0.77,0.478
4622,107.2,0.78,0.353
4623,103.15,0.75,0.243
4624,99.58,0.72,0.114
4625,92.46,0.67,0.024
4626,104.15,0.75,0
4627,134.26,0.97,0
4628,138,1,0
4629,126.91,0.92,0
4630,110.76,0.8,0
4631,97.58,0.71,0
4632,91.37,0.66,0
4633,82.93,0.6,0
4634,77.9,0.56,0
4635,73.88,0.54,0
4636,71.95,0.52,0
4637,73.81,0.53,0.006
4638,74.01,0.54,0.121
4639,67.88,0.49,0.271
4640,76.89,0.56,0.416
4641,83.02,0.6,0.537
4642,92.05,0.67,0.622
4643,101.81,0.74,0.658
4644,103.21,0.75,0.605
4645,105.97,0.77,0.532
4646,107.2,0.78,0.436
4647,103.15,0.75,0.301
4648,99.58,0.72,0.148
4649,92.46,0.67,0.023
4650,104.15,0.75,0
4651,134.26,0.97,0
4652,138,1,0
4653,126.91,0.92,0
4654,110.76,0.8,0
4655,97.58,0.71,0
4656,91.37,0.66,0
4657,82.93,0.6,0
4658,77.9,0.56,0
4659,73.88,0.54,0
4660,71.95,0.52,0
4661,73.81,0.53,0.001
4662,74.01,0.54,0.049
4663,67.88,0.49,0.128
4664,76.89,0.56,0.161
4665,83.02,0.6,0.235
4666,92.05,0.67,0.316
4667,101.81,0.74,0.326
4668,103.21,0.75,0.334
4669,105.97,0.77,0.277
4670,107.2,0.78,0.217
4671,103.15,0.75,0.156
4672,99.58,0.72,0.095
4673,92.46,0.67,0.021
4674,104.15,0.75,0
4675,134.26,0.97,0
4676,138,1,0
4677,126.91,0.92,0
4678,110.76,0.8,0
4679,97.58,0.71,0
4680,91.37,0.66,0
4681,82.93,0.6,0
4682,77.9,0.56,0
4683,73.88,0.54,0
4684,71.95,0.52,0
4685,73.81,0.53,0
4686,74.01,0.54,0.029
4687,67.88,0.49,0.075
4688,76.89,0.56,0.089
4689,83.02,0.6,0.122
4690,92.05,0.67,0.144
4691,101.81,0.74,0.131
4692,103.21,0.75,0.129
4693,105.97,0.77,0.155
4694,107.2,0.78,0.134
4695,103.15,0.75,0.086
4696,99.58,0.72,0.04
4697,92.46,0.67,0.011
4698,104.15,0.75,0
4699,134.26,0.97,0
4700,138,1,0
4701,126.91,0.92,0
4702,110.76,0.8,0
4703,97.58,0.71,0
4704,91.37,0.66,0
4705,82.93,0.6,0
4706,77.9,0.56,0
4707,73.88,0.54,0
4708,71.95,0.52,0
4709,73.81,0.53,0.002
4710,74.01,0.54,0.057
4711,67.88,0.49,0.147
4712,76.89,0.56,0.224
4713,83.02,0.6,0.274
4714,92.05,0.67,0.316
4715,101.81,0.74,0.347
4716,103.21,0.75,0.349
4717,105.97,0.77,0.34
4718,107.2,0.78,0.281
4719,103.15,0.75,0.185
4720,99.58,0.72,0.09
4721,92.46,0.67,0.016
4722,104.15,0.75,0
4723,134.26,0.97,0
4724,138,1,0
4725,126.91,0.92,0
4726,110.76,0.8,0
4727,97.58,0.71,0
4728,91.37,0.66,0
4729,82.93,0.6,0
4730,77.9,0.56,0
4731,73.88,0.54,0
4732,71.95,0.52,0
4733,73.81,0.53,0.002
4734,74.01,0.54,0.058
4735,67.88,0.49,0.155
4736,76.89,0.56,0.263
4737,83.02,0.6,0.357
4738,92.05,0.67,0.468
4739,101.81,0.74,0.519
4740,103.21,0.75,0.529
4741,105.97,0.77,0.477
4742,107.2,0.78,0.382
4743,103.15,0.75,0.256
4744,99.58,0.72,0.112
4745,92.46,0.67,0.011
4746,104.15,0.75,0
4747,134.26,0.97,0
4748,138,1,0
4749,126.91,0.92,0
4750,110.76,0.8,0
4751,97.58,0.71,0
4752,91.37,0.66,0
4753,82.93,0.6,0
4754,77.9,0.56,0
4755,73.88,0.54,0
4756,71.95,0.52,0
4757,73.81,0.53,0.001
4758,74.01,0.54,0.041
4759,67.88,0.49,0.132
4760,76.89,0.56,0.23
4761,83.02,0.6,0.293
4762,92.05,0.67,0.358
4763,101.81,0.74,0.395
4764,103.21,0.75,0.381
4765,105.97,0.77,0.327
4766,107.2,0.78,0.272
4767,103.15,0.75,0.187
4768,99.58,0.72,0.09
4769,92.46,0.67,0.016
4770,104.15,0.75,0
4771,134.26,0.97,0
4772,138,1,0
4773,126.91,0.92,0
4774,110.76,0.8,0
4775,97.58,0.71,0
4776,91.37,0.66,0
4777,82.93,0.6,0
4778,77.9,0.56,0
4779,73.88,0.54,0
4780,71.95,0.52,0
4781,73.81,0.53,0.001
4782,74.01,0.54,0.061
4783,67.88,0.49,0.11
4784,76.89,0.56,0.184
4785,83.02,0.6,0.246
4786,92.05,0.67,0.297
4787,101.81,0.74,0.314
4788,103.21,0.75,0.309
4789,105.97,0.77,0.236
4790,107.2,0.78,0.169
4791,103.15,0.75,0.114
4792,99.58,0.72,0.055
4793,92.46,0.67,0.008
4794,104.15,0.75,0
4795,134.26,0.97,0
4796,138,1,0
4797,126.91,0.92,0
4798,110.76,0.8,0
4799,97.58,0.71,0
4800,91.37,0.66,0
4801,82.93,0.6,0
4802,77.9,0.56,0
4803,73.88,0.54,0
4804,71.95,0.52,0
4805,73.81,0.53,0
4806,74.01,0.54,0.026
4807,67.88,0.49,0.081
4808,76.89,0.56,0.144
4809,83.02,0.6,0.18
4810,92.05,0.67,0.19
4811,101.81,0.74,0.175
4812,103.21,0.75,0.178
4813,105.97,0.77,0.155
4814,107.2,0.78,0.116
4815,103.15,0.75,0.079
4816,99.58,0.72,0.04
4817,92.46,0.67,0.005
4818,104.15,0.75,0
4819,134.26,0.97,0
4820,138,1,0
4821,126.91,0.92,0
4822,110.76,0.8,0
4823,97.58,0.71,0
4824,91.37,0.66,0
4825,82.93,0.6,0
4826,77.9,0.56,0
4827,73.88,0.54,0
4828,71.95,0.52,0
4829,73.81,0.53,0.001
4830,74.01,0.54,0.05
4831,67.88,0.49,0.126
4832,76.89,0.56,0.191
4833,83.02,0.6,0.242
4834,92.05,0.67,0.307
4835,101.81,0.74,0.357
4836,103.21,0.75,0.352
4837,105.97,0.77,0.302
4838,107.2,0.78,0.232
4839,103.15,0.75,0.152
4840,99.58,0.72,0.072
4841,92.46,0.67,0.012
4842,104.15,0.75,0
4843,134.26,0.97,0
4844,138,1,0
4845,126.91,0.92,0
4846,110.76,0.8,0
4847,97.58,0.71,0
4848,91.37,0.66,0
4849,82.93,0.6,0
4850,77.9,0.56,0
4851,73.88,0.54,0
4852,71.95,0.52,0
4853,73.81,0.53,0.004
4854,74.01,0.54,0.101
4855,67.88,0.49,0.233
4856,76.89,0.56,0.381
4857,83.02,0.6,0.512
4858,92.05,0.67,0.6
4859,101.81,0.74,0.644
4860,103.21,0.75,0.635
4861,105.97,0.77,0.565
4862,107.2,0.78,0.446
4863,103.15,0.75,0.3
4864,99.58,0.72,0.166
4865,92.46,0.67,0.032
4866,104.15,0.75,0
4867,134.26,0.97,0
4868,138,1,0
4869,126.91,0.92,0
4870,110.76,0.8,0
4871,97.58,0.71,0
4872,91.37,0.66,0
4873,82.93,0.6,0
4874,77.9,0.56,0
4875,73.88,0.54,0
4876,71.95,0.52,0
4877,73.81,0.53,0.001
4878,74.01,0.54,0.059
4879,67.88,0.49,0.181
4880,76.89,0.56,0.361
4881,83.02,0.6,0.479
4882,92.05,0.67,0.545
4883,101.81,0.74,0.573
4884,103.21,0.75,0.528
4885,105.97,0.77,0.462
4886,107.2,0.78,0.355
4887,103.15,0.75,0.236
4888,99.58,0.72,0.119
4889,92.46,0.67,0.021
4890,104.15,0.75,0
4891,134.26,0.97,0
4892,138,1,0
4893,126.91,0.92,0
4894,110.76,0.8,0
4895,97.58,0.71,0
